_id,gb,fr,de,it,es,pl,el,ro,bg,da,sv,no,nl
$Dictionary~~0:00,"",0:00,0:00,00:00,0:00,"","",0:00,0:00,"",00:00,"",00:00
$Dictionary~~10:00,"",10h00,10:00,10:00,10:00,"","",10:00,10:00,"",10:00,"",10:00
$Dictionary~~11:00,"",11h00,11:00,11:00,11:00,"","",11:00,11:00,"",11:00,"",11:00
$Dictionary~~12:00,"",12h00,12:00,00:00,12:00,"","",12:00,12:00,"",00:00,"",00:00
$Dictionary~~13:00,"",13h00,13:00,13:00,13:00,"","",13:00,13:00,"",13:00,"",13:00
$Dictionary~~14:00,"",14h00,14:00,14:00,14:00,"","",14:00,14:00,"",14:00,"",14:00
$Dictionary~~15:00,"",15h00,15:00,15:00,15:00,"","",15:00,15:00,"",15:00,"",15:00
$Dictionary~~16:00,"",16h00,16:00,16:00,16:00,"","",16:00,16:00,"",16:00,"",16:00
$Dictionary~~17:00,"",17h00,17:00,17:00,17:00,"","",17:00,17:00,"",17:00,"",17:00
$Dictionary~~18:00,"",18h00,18:00,18:00,18:00,"","",18:00,18:00,"",18:00,"",18:00
$Dictionary~~18:05,"",18h05,18.05,"",18:05,"","",18:05,18:05,"",18:05,"",18:05
$Dictionary~~18:10,"",18h10,18:10,"",18:10,"","",18:10,18:10,"",18:10,"",18:10
$Dictionary~~18:15,"",18h15,18:15,"",18:15,"","",18:15,18:15,"",18:15,"",18:15
$Dictionary~~18:20,"",18h20,18:20,"",18:20,"","",18:20,18:20,"",18:20,"",18:20
$Dictionary~~18:25,"",18h25,18:25,"",18:25,"","",18:25,18:25,"",18:25,"",18:25
$Dictionary~~18:30,"",18h30,18:30,"",18:30,"","",18:30,18:30,"",18:30,"",18:30
$Dictionary~~18:35,"",18h35,18:35,"",18:35,"","",18:35,18:35,"",18:35,"",18:35
$Dictionary~~18:40,"",18h40,18:40,"",18:40,"","",18:40,18:40,"",18:40,"",18:40
$Dictionary~~18:45,"",18h45,18:45,"",18:45,"","",18:45,18:45,"",18:45,"",18:45
$Dictionary~~18:50,"",18h50,18:50,"",18:50,"","",18:50,18:50,"",18:50,"",18:50
